SEQN,RIDAGEMN,RIDRETH1,DMDEDUC2,DMDMARTL
42633,129,1,NA,NA
42634,273,4,3,5
42635,57,4,NA,NA
42636,663,2,4,1
42637,207,1,NA,NA
42638,578,4,3,5
42639,779,3,3,3
42640,955,3,4,2
42641,194,3,NA,NA
42642,706,3,4,3
42643,380,3,5,5
42644,16,3,NA,NA
42645,215,2,NA,NA
42646,364,1,3,1
42647,582,1,4,6
42648,539,3,2,1
42649,590,4,4,3
42650,412,3,5,1
42651,916,3,3,2
42652,593,3,2,1
42653,8,4,NA,NA
42654,304,1,2,5
42655,353,3,2,4
42656,660,1,3,1
42657,533,2,4,3
42658,730,2,5,4
42659,485,1,1,6
42660,352,1,3,6
42661,234,3,NA,NA
42662,54,3,NA,NA
42663,98,2,NA,NA
42664,643,4,4,1
42665,910,3,1,1
42666,937,4,2,2
42667,0,1,NA,NA
42668,780,3,3,1
42669,32,3,NA,NA
42670,744,3,3,1
42671,91,3,NA,NA
42672,777,4,2,2
42673,780,4,2,1
42674,NA,3,5,1
42675,15,1,NA,NA
42676,457,3,5,1
42677,155,3,NA,NA
42678,609,5,2,1
42679,445,2,3,1
42680,479,1,2,1
42681,712,4,3,3
42682,NA,3,1,1
42683,908,3,5,1
42684,200,4,NA,NA
42685,281,4,4,5
42686,594,3,5,1
42687,554,4,5,1
42688,204,3,NA,NA
42689,471,4,3,1
42690,3,3,NA,NA
42691,76,3,NA,NA
42692,761,1,1,1
42693,598,3,4,1
42694,88,3,NA,NA
42695,608,5,3,1
42696,943,3,3,1
42697,189,4,NA,NA
42698,695,2,3,1
42699,750,3,1,5
42700,774,5,5,3
42701,305,2,5,5
42702,842,3,3,2
42703,508,2,1,1
42704,540,1,2,1
42705,651,4,5,1
42706,83,3,NA,NA
42707,14,2,NA,NA
42708,161,4,NA,NA
42709,102,1,NA,NA
42710,349,3,4,5
42711,32,2,NA,NA
42712,766,4,4,1
42713,477,4,5,1
42714,NA,3,5,2
42715,618,3,5,1
42716,789,2,2,1
42717,575,3,2,1
42718,71,3,NA,NA
42719,211,3,NA,NA
42720,129,4,NA,NA
42721,219,3,NA,NA
42722,41,1,NA,NA
42723,297,1,1,1
42724,391,3,5,6
42725,421,3,4,5
42726,386,1,2,1
42727,323,2,3,5
42728,526,4,4,1
42729,136,3,NA,NA
42730,208,2,NA,NA
42731,78,1,NA,NA
42732,88,3,NA,NA
42733,821,4,2,1
42734,184,3,NA,NA
42735,31,2,NA,NA
42736,742,1,1,1
42737,174,4,NA,NA
42738,908,1,3,3
42739,109,3,NA,NA
42740,884,3,5,1
42741,701,1,4,1
42742,131,4,NA,NA
42743,408,2,2,1
42744,284,1,2,6
42745,620,1,5,1
42746,839,3,5,1
42747,7,4,NA,NA
42748,NA,1,1,3
42749,930,3,3,2
42750,285,3,3,5
42751,918,3,3,1
42752,756,4,1,2
42753,525,4,4,5
42754,137,3,NA,NA
42755,8,3,NA,NA
42756,149,4,NA,NA
42757,17,4,NA,NA
42758,76,4,NA,NA
42759,NA,3,5,2
42760,526,3,2,6
42761,755,2,3,1
42762,57,4,NA,NA
42763,560,4,2,6
42764,824,4,2,3
42765,40,3,NA,NA
42766,614,3,5,1
42767,205,3,NA,NA
42768,NA,3,2,2
42769,884,3,4,2
42770,293,2,3,5
42771,650,4,2,1
42772,780,3,3,1
42773,34,1,NA,NA
42774,10,5,NA,NA
42775,198,3,NA,NA
42776,169,3,NA,NA
42777,127,1,NA,NA
42778,203,5,NA,NA
42779,431,1,2,1
42780,5,3,NA,NA
42781,474,3,4,6
42782,438,3,5,1
42783,14,4,NA,NA
42784,140,3,NA,NA
42785,266,2,4,1
42786,0,1,NA,NA
42787,420,3,4,5
42788,853,3,5,1
42789,137,3,NA,NA
42790,391,3,2,3
42791,728,2,4,1
42792,795,3,3,1
42793,98,3,NA,NA
42794,319,3,3,5
42795,920,4,3,2
42796,126,1,NA,NA
42797,424,3,5,1
42798,238,3,NA,NA
42799,758,1,1,1
42800,46,1,NA,NA
42801,600,3,3,1
42802,753,1,3,1
42803,44,2,NA,NA
42804,236,3,NA,NA
42805,15,1,NA,NA
42806,442,2,4,1
42807,203,1,NA,NA
42808,701,1,1,6
42809,326,1,1,1
42810,103,3,NA,NA
42811,327,3,5,6
42812,68,3,NA,NA
42813,NA,3,4,1
42814,NA,4,3,2
42815,112,4,NA,NA
42816,373,3,3,1
42817,618,1,3,1
42818,927,3,1,2
42819,47,1,NA,NA
42820,816,3,2,1
42821,30,5,NA,NA
42822,476,3,4,1
42823,593,2,1,3
42824,348,1,3,1
42825,738,3,3,1
42826,572,4,2,5
42827,832,1,4,1
42828,62,3,NA,NA
42829,114,4,NA,NA
42830,789,4,2,2
42831,2,1,NA,NA
42832,183,5,NA,NA
42833,786,3,4,2
42834,543,3,5,1
42835,778,3,1,2
42836,37,4,NA,NA
42837,156,1,NA,NA
42838,652,5,3,1
42839,350,4,5,5
42840,550,2,5,1
42841,63,2,NA,NA
42842,307,1,2,1
42843,682,4,2,5
42844,757,3,4,1
42845,NA,3,3,2
42846,388,4,4,1
42847,267,2,2,1
42848,3,3,NA,NA
42849,17,5,NA,NA
42850,636,3,2,1
42851,7,3,NA,NA
42852,58,1,NA,NA
42853,477,4,4,1
42854,198,4,NA,NA
42855,434,5,5,1
42856,196,4,NA,NA
42857,345,1,2,1
42858,118,4,NA,NA
42859,141,3,NA,NA
42860,235,1,NA,NA
42861,224,3,NA,NA
42862,253,4,4,5
42863,100,3,NA,NA
42864,2,4,NA,NA
42865,287,4,3,1
42866,NA,3,2,1
42867,816,4,4,5
42868,522,3,5,1
42869,779,3,3,2
42870,414,1,5,3
42871,36,3,NA,NA
42872,32,3,NA,NA
42873,NA,5,1,1
42874,14,2,NA,NA
42875,162,4,NA,NA
42876,NA,3,3,5
42877,268,3,4,5
42878,548,3,1,1
42879,65,4,NA,NA
42880,342,3,4,1
42881,207,2,NA,NA
42882,31,3,NA,NA
42883,7,5,NA,NA
42884,164,1,NA,NA
42885,137,2,NA,NA
42886,49,3,NA,NA
42887,111,1,NA,NA
42888,47,1,NA,NA
42889,157,3,NA,NA
42890,431,1,4,1
42891,50,2,NA,NA
42892,42,2,NA,NA
42893,5,4,NA,NA
42894,447,1,1,1
42895,102,1,NA,NA
42896,321,1,3,6
42897,384,3,2,6
42898,764,4,3,3
42899,11,1,NA,NA
42900,757,4,5,1
42901,405,4,4,1
42902,377,1,2,6
42903,275,3,4,6
42904,574,1,2,4
42905,368,2,4,6
42906,679,3,4,1
42907,97,3,NA,NA
42908,NA,3,4,2
42909,162,3,NA,NA
42910,9,1,NA,NA
42911,463,3,2,6
42912,557,2,3,1
42913,195,3,NA,NA
42914,527,5,1,1
42915,47,2,NA,NA
42916,49,1,NA,NA
42917,62,3,NA,NA
42918,721,1,2,1
42919,246,1,3,6
42920,NA,3,5,1
42921,11,3,NA,NA
42922,849,2,3,3
42923,448,1,3,1
42924,12,2,NA,NA
42925,42,2,NA,NA
42926,529,3,3,1
42927,736,1,4,3
42928,NA,1,1,2
42929,210,2,NA,NA
42930,142,1,NA,NA
42931,58,3,NA,NA
42932,508,3,5,1
42933,120,1,NA,NA
42934,34,1,NA,NA
42935,717,3,5,1
42936,134,1,NA,NA
42937,270,1,3,5
42938,29,3,NA,NA
42939,321,4,3,1
42940,854,3,2,4
42941,841,3,3,1
42942,71,1,NA,NA
42943,10,2,NA,NA
42944,133,4,NA,NA
42945,82,3,NA,NA
42946,815,4,3,2
42947,803,3,1,1
42948,502,3,4,5
42949,726,3,4,1
42950,482,3,4,1
42951,95,1,NA,NA
42952,136,3,NA,NA
42953,374,3,5,5
42954,120,2,NA,NA
42955,3,3,NA,NA
42956,232,2,NA,NA
42957,103,1,NA,NA
42958,447,4,4,1
42959,112,1,NA,NA
42960,711,3,3,1
42961,NA,3,1,2
42962,217,3,NA,NA
42963,139,1,NA,NA
42964,125,1,NA,NA
42965,61,1,NA,NA
42966,115,2,NA,NA
42967,232,1,NA,NA
42968,51,1,NA,NA
42969,418,3,5,1
42970,45,2,NA,NA
42971,123,2,NA,NA
42972,124,3,NA,NA
42973,448,3,3,1
42974,453,3,2,1
42975,NA,3,3,2
42976,70,4,NA,NA
42977,457,2,3,1
42978,957,3,1,1
42979,534,1,2,1
42980,175,4,NA,NA
42981,783,1,2,1
42982,703,3,4,1
42983,168,4,NA,NA
42984,339,1,1,6
42985,767,3,2,1
42986,395,4,4,6
42987,733,3,5,1
42988,111,3,NA,NA
42989,149,1,NA,NA
42990,33,3,NA,NA
42991,360,1,1,4
42992,149,4,NA,NA
42993,668,2,3,1
42994,293,3,4,5
42995,29,3,NA,NA
42996,146,5,NA,NA
42997,395,3,3,4
42998,204,3,NA,NA
42999,42,3,NA,NA
43000,7,1,NA,NA
43001,690,4,4,2
43002,97,1,NA,NA
43003,38,3,NA,NA
43004,776,3,1,1
43005,NA,3,2,2
43006,4,2,NA,NA
43007,566,5,5,1
43008,380,3,4,1
43009,192,3,NA,NA
43010,231,4,NA,NA
43011,233,4,NA,NA
43012,164,1,NA,NA
43013,2,1,NA,NA
43014,124,1,NA,NA
43015,NA,3,3,5
43016,886,3,3,1
43017,661,3,3,3
43018,827,1,1,5
43019,728,3,1,3
43020,NA,3,2,2
43021,185,3,NA,NA
43022,552,4,2,3
43023,736,1,3,1
43024,610,2,4,1
43025,NA,3,4,2
43026,457,1,2,6
43027,108,2,NA,NA
43028,132,3,NA,NA
43029,NA,2,5,1
43030,868,3,3,3
43031,NA,1,1,3
43032,312,3,4,1
43033,50,4,NA,NA
43034,36,1,NA,NA
43035,198,1,NA,NA
43036,680,4,4,3
43037,343,4,3,5
43038,7,3,NA,NA
43039,14,4,NA,NA
43040,52,1,NA,NA
43041,387,3,2,5
43042,150,3,NA,NA
43043,61,1,NA,NA
43044,345,3,5,1
43045,21,3,NA,NA
43046,125,3,NA,NA
43047,856,5,3,2
43048,195,4,NA,NA
43049,882,4,2,2
43050,530,4,3,1
43051,562,4,2,5
43052,169,2,NA,NA
43053,553,1,5,5
43054,203,5,NA,NA
43055,186,3,NA,NA
43056,455,1,1,1
43057,26,3,NA,NA
43058,100,1,NA,NA
43059,62,3,NA,NA
43060,473,3,5,3
43061,28,1,NA,NA
43062,531,3,5,1
43063,796,2,1,3
43064,396,3,4,1
43065,397,1,4,5
43066,NA,4,4,1
43067,367,1,4,5
43068,49,4,NA,NA
43069,122,4,NA,NA
43070,170,3,NA,NA
43071,489,2,1,6
43072,95,1,NA,NA
43073,905,3,3,1
43074,523,3,4,1
43075,126,1,NA,NA
43076,220,3,NA,NA
43077,750,1,2,3
43078,536,3,3,1
43079,817,3,5,3
43080,NA,3,5,1
43081,9,3,NA,NA
43082,83,2,NA,NA
43083,151,3,NA,NA
43084,822,3,3,5
43085,886,4,2,1
43086,506,3,5,1
43087,472,5,5,1
43088,131,4,NA,NA
43089,350,5,5,1
43090,113,1,NA,NA
43091,568,1,4,1
43092,584,5,4,3
43093,691,1,3,1
43094,45,5,NA,NA
43095,402,1,4,6
43096,603,3,4,1
43097,NA,3,3,2
43098,224,3,NA,NA
43099,846,3,2,1
43100,463,3,2,6
43101,26,2,NA,NA
43102,53,3,NA,NA
43103,10,3,NA,NA
43104,68,1,NA,NA
43105,122,4,NA,NA
43106,552,3,1,1
43107,51,5,NA,NA
43108,13,1,NA,NA
43109,170,3,NA,NA
43110,123,2,NA,NA
43111,754,2,1,1
43112,276,3,2,6
43113,29,4,NA,NA
43114,296,3,4,5
43115,NA,3,5,2
43116,425,3,3,5
43117,402,3,5,1
43118,54,4,NA,NA
43119,475,3,3,1
43120,132,1,NA,NA
43121,111,1,NA,NA
43122,135,1,NA,NA
43123,NA,2,1,1
43124,557,3,2,2
43125,90,4,NA,NA
43126,162,3,NA,NA
43127,644,4,4,1
43128,735,4,3,3
43129,6,3,NA,NA
43130,105,5,NA,NA
43131,779,3,3,5
43132,48,4,NA,NA
43133,553,3,4,1
43134,462,4,4,1
43135,11,3,NA,NA
43136,94,2,NA,NA
43137,181,1,NA,NA
43138,556,4,5,3
43139,255,1,3,5
43140,492,3,3,1
43141,25,3,NA,NA
43142,580,1,2,1
43143,NA,4,2,2
43144,322,3,4,5
43145,21,1,NA,NA
43146,56,1,NA,NA
43147,172,2,NA,NA
43148,202,3,NA,NA
43149,55,4,NA,NA
43150,31,3,NA,NA
43151,610,4,3,3
43152,65,5,NA,NA
43153,770,4,1,5
43154,629,2,1,4
43155,NA,3,4,1
43156,220,2,NA,NA
43157,249,1,4,1
43158,18,1,NA,NA
43159,19,2,NA,NA
43160,25,2,NA,NA
43161,60,3,NA,NA
43162,241,1,2,5
43163,44,1,NA,NA
43164,11,3,NA,NA
43165,597,3,3,5
43166,654,3,5,1
43167,466,3,5,1
43168,942,1,1,1
43169,626,3,4,1
43170,601,3,5,1
43171,33,2,NA,NA
43172,584,3,5,1
43173,412,3,9,5
43174,597,5,4,1
43175,473,1,1,1
43176,443,3,5,1
43177,436,3,5,1
43178,23,4,NA,NA
43179,NA,3,3,2
43180,769,4,4,3
43181,56,3,NA,NA
43182,26,5,NA,NA
43183,11,1,NA,NA
43184,6,3,NA,NA
43185,925,3,5,5
43186,809,3,4,1
43187,NA,3,5,2
43188,134,5,NA,NA
43189,585,3,5,6
43190,642,1,1,1
43191,681,2,1,3
43192,26,3,NA,NA
43193,346,3,5,1
43194,99,1,NA,NA
43195,624,4,5,5
43196,62,1,NA,NA
43197,80,4,NA,NA
43198,289,3,4,5
43199,267,1,2,4
43200,533,4,4,3
43201,194,3,NA,NA
43202,409,3,2,6
43203,5,3,NA,NA
43204,NA,1,2,2
43205,298,1,4,5
43206,96,4,NA,NA
43207,22,3,NA,NA
43208,44,4,NA,NA
43209,57,3,NA,NA
43210,860,5,3,1
43211,NA,3,2,5
43212,208,4,NA,NA
43213,95,3,NA,NA
43214,658,3,5,1
43215,375,4,2,6
43216,577,2,3,1
43217,45,3,NA,NA
43218,44,3,NA,NA
43219,168,3,NA,NA
43220,35,1,NA,NA
43221,418,3,2,1
43222,191,4,NA,NA
43223,188,1,NA,NA
43224,509,3,5,1
43225,137,3,NA,NA
43226,129,3,NA,NA
43227,473,4,4,1
43228,229,2,NA,NA
43229,643,5,5,1
43230,354,3,3,3
43231,105,3,NA,NA
43232,552,3,5,1
43233,481,1,4,4
43234,531,4,3,3
43235,797,1,4,1
43236,96,3,NA,NA
43237,816,3,3,6
43238,584,3,2,3
43239,97,4,NA,NA
43240,864,2,2,3
43241,567,1,4,1
43242,643,3,2,5
43243,689,3,5,1
43244,929,4,1,3
43245,752,3,2,1
43246,259,4,4,6
43247,635,1,3,6
43248,288,4,4,5
43249,155,5,NA,NA
43250,244,4,3,5
43251,806,3,3,1
43252,382,1,5,1
43253,172,2,NA,NA
43254,860,3,4,1
43255,36,4,NA,NA
43256,435,2,2,4
43257,63,2,NA,NA
43258,151,1,NA,NA
43259,638,1,1,1
43260,75,3,NA,NA
43261,755,4,4,1
43262,109,4,NA,NA
43263,330,2,5,5
43264,556,2,5,1
43265,234,4,NA,NA
43266,131,4,NA,NA
43267,31,2,NA,NA
43268,843,1,2,3
43269,785,3,3,2
43270,445,1,3,4
43271,637,3,4,4
43272,0,1,NA,NA
43273,337,4,4,1
43274,4,3,NA,NA
43275,825,4,4,1
43276,67,2,NA,NA
43277,344,3,4,1
43278,236,4,NA,NA
43279,197,4,NA,NA
43280,540,3,5,1
43281,556,3,4,1
43282,379,3,4,1
43283,642,1,1,1
43284,665,1,1,4
43285,299,3,3,1
43286,70,3,NA,NA
43287,609,4,3,1
43288,735,3,3,1
43289,72,2,NA,NA
43290,620,2,1,4
43291,61,4,NA,NA
43292,92,3,NA,NA
43293,627,1,1,1
43294,757,1,4,1
43295,350,2,5,1
43296,787,3,3,1
43297,815,1,1,1
43298,327,2,2,5
43299,405,3,5,5
43300,547,4,2,1
43301,797,1,1,2
43302,819,3,3,1
43303,668,3,4,1
43304,236,4,NA,NA
43305,932,3,2,1
43306,314,3,5,1
43307,45,1,NA,NA
43308,220,3,NA,NA
43309,190,3,NA,NA
43310,939,3,2,1
43311,565,1,4,1
43312,927,1,3,3
43313,826,3,5,5
43314,NA,4,1,2
43315,599,1,3,1
43316,468,4,4,1
43317,725,3,3,1
43318,763,3,4,1
43319,47,4,NA,NA
43320,829,2,1,1
43321,209,3,NA,NA
43322,211,1,NA,NA
43323,631,5,4,1
43324,250,4,2,6
43325,150,3,NA,NA
43326,2,3,NA,NA
43327,10,3,NA,NA
43328,68,4,NA,NA
43329,446,3,5,1
43330,869,3,1,1
43331,102,2,NA,NA
43332,127,4,NA,NA
43333,463,4,2,4
43334,602,3,4,1
43335,655,3,4,1
43336,285,4,4,1
43337,10,1,NA,NA
43338,315,3,5,6
43339,416,1,3,1
43340,410,2,3,1
43341,419,3,4,5
43342,676,3,4,1
43343,799,2,1,1
43344,714,2,1,1
43345,509,3,4,1
43346,115,4,NA,NA
43347,446,4,5,1
43348,199,4,NA,NA
43349,317,2,4,6
43350,138,1,NA,NA
43351,763,1,1,1
43352,NA,3,5,1
43353,863,3,3,1
43354,220,2,NA,NA
43355,43,5,NA,NA
43356,414,4,3,6
43357,110,3,NA,NA
43358,858,4,2,1
43359,230,3,NA,NA
43360,147,1,NA,NA
43361,181,3,NA,NA
43362,290,1,1,5
43363,279,3,2,1
43364,300,3,4,5
43365,676,1,2,5
43366,737,1,1,1
43367,492,3,5,1
43368,234,2,NA,NA
43369,72,3,NA,NA
43370,461,2,2,5
43371,21,4,NA,NA
43372,344,3,4,1
43373,42,1,NA,NA
43374,6,5,NA,NA
43375,564,3,4,1
43376,400,1,3,1
43377,172,1,NA,NA
43378,295,1,1,6
43379,633,3,3,1
43380,119,4,NA,NA
43381,338,3,4,1
43382,555,3,5,1
43383,730,3,5,1
43384,849,4,1,5
43385,355,1,1,6
43386,NA,4,5,1
43387,550,3,2,6
43388,90,4,NA,NA
43389,22,3,NA,NA
43390,121,1,NA,NA
43391,853,3,1,1
43392,63,4,NA,NA
43393,262,5,2,5
43394,53,2,NA,NA
43395,143,1,NA,NA
43396,519,3,2,3
43397,140,2,NA,NA
43398,102,4,NA,NA
43399,700,4,3,3
43400,NA,1,1,2
43401,587,3,5,1
43402,285,4,2,5
43403,100,2,NA,NA
43404,482,3,4,3
43405,208,4,NA,NA
43406,462,1,2,1
43407,671,1,2,3
43408,264,4,1,6
43409,177,3,NA,NA
43410,155,1,NA,NA
43411,574,4,2,1
43412,335,4,4,5
43413,738,3,4,3
43414,806,4,4,1
43415,634,3,3,1
43416,161,4,NA,NA
43417,196,1,NA,NA
43418,757,4,4,1
43419,224,4,NA,NA
43420,554,4,4,3
43421,10,2,NA,NA
43422,84,3,NA,NA
43423,145,1,NA,NA
43424,451,3,4,1
43425,392,3,4,1
43426,878,2,1,5
43427,55,2,NA,NA
43428,184,4,NA,NA
43429,717,4,2,1
43430,889,3,2,3
43431,196,3,NA,NA
43432,779,3,4,1
43433,665,3,4,3
43434,100,2,NA,NA
43435,412,1,4,6
43436,135,3,NA,NA
43437,126,3,NA,NA
43438,934,3,1,3
43439,239,4,NA,NA
43440,514,2,3,1
43441,758,3,2,1
43442,83,1,NA,NA
43443,206,3,NA,NA
43444,654,4,5,3
43445,606,1,1,6
43446,168,3,NA,NA
43447,913,3,5,2
43448,6,1,NA,NA
43449,478,3,4,1
43450,105,3,NA,NA
43451,435,3,5,3
43452,NA,4,2,2
43453,483,1,2,1
43454,11,2,NA,NA
43455,306,5,4,1
43456,522,3,3,4
43457,216,3,NA,NA
43458,747,1,1,1
43459,343,3,4,1
43460,79,3,NA,NA
43461,70,3,NA,NA
43462,150,4,NA,NA
43463,243,3,3,6
43464,916,3,4,2
43465,599,4,2,1
43466,568,3,5,1
43467,219,1,NA,NA
43468,574,3,2,1
43469,946,3,3,1
43470,235,4,NA,NA
43471,65,2,NA,NA
43472,118,3,NA,NA
43473,309,1,4,1
43474,836,3,4,3
43475,375,3,3,4
43476,610,3,3,1
43477,89,4,NA,NA
43478,455,1,1,5
43479,761,2,3,1
43480,557,4,4,3
43481,535,1,1,1
43482,357,3,4,1
43483,151,3,NA,NA
43484,735,4,2,2
43485,26,2,NA,NA
43486,479,5,3,5
43487,146,4,NA,NA
43488,359,1,3,4
43489,768,4,2,2
43490,168,1,NA,NA
43491,17,4,NA,NA
43492,616,3,4,3
43493,722,1,1,1
43494,210,4,NA,NA
43495,58,5,NA,NA
43496,521,4,3,1
43497,7,2,NA,NA
43498,946,2,1,1
43499,316,1,4,5
43500,758,3,4,1
43501,198,4,NA,NA
43502,30,3,NA,NA
43503,698,4,4,3
43504,106,5,NA,NA
43505,575,4,5,1
43506,93,1,NA,NA
43507,107,1,NA,NA
43508,490,4,2,5
43509,0,1,NA,NA
43510,193,2,NA,NA
43511,174,3,NA,NA
43512,71,3,NA,NA
43513,62,3,NA,NA
43514,NA,2,1,1
43515,15,3,NA,NA
43516,14,3,NA,NA
43517,400,5,5,1
43518,199,1,NA,NA
43519,10,4,NA,NA
43520,672,4,3,3
43521,545,3,1,1
43522,136,5,NA,NA
43523,821,4,4,2
43524,890,4,1,2
43525,8,4,NA,NA
43526,874,2,2,1
43527,805,1,5,5
43528,627,1,2,1
43529,465,3,4,5
43530,92,3,NA,NA
43531,NA,3,1,1
43532,672,5,1,2
43533,828,4,2,1
43534,551,3,3,1
43535,859,3,5,1
43536,180,2,NA,NA
43537,280,5,5,6
43538,229,1,NA,NA
43539,165,1,NA,NA
43540,788,1,2,1
43541,890,3,5,2
43542,724,3,5,1
43543,809,1,3,1
43544,196,2,NA,NA
43545,333,3,2,5
43546,866,4,4,2
43547,29,1,NA,NA
43548,312,3,4,1
43549,666,3,4,3
43550,890,4,4,3
43551,219,3,NA,NA
43552,543,3,4,1
43553,298,4,5,6
43554,15,1,NA,NA
43555,381,1,2,6
43556,759,4,3,1
43557,322,3,4,5
43558,835,3,5,6
43559,262,3,4,5
43560,572,4,4,5
43561,260,3,4,5
43562,546,2,4,1
43563,10,1,NA,NA
43564,348,1,3,1
43565,240,1,2,5
43566,17,3,NA,NA
43567,955,3,3,1
43568,588,4,2,1
43569,175,4,NA,NA
43570,847,3,3,3
43571,297,3,5,5
43572,545,3,1,6
43573,926,3,3,1
43574,610,3,3,4
43575,565,4,3,1
43576,89,3,NA,NA
43577,68,3,NA,NA
43578,28,5,NA,NA
43579,341,2,4,5
43580,21,1,NA,NA
43581,488,1,2,3
43582,555,2,4,6
43583,291,4,4,5
43584,193,4,NA,NA
43585,545,1,3,4
43586,513,3,4,1
43587,622,3,4,4
43588,535,3,3,1
43589,939,3,1,1
43590,NA,3,3,1
43591,901,1,1,5
43592,828,3,3,1
43593,697,4,3,1
43594,660,1,3,1
43595,599,3,5,1
43596,NA,3,5,1
43597,784,2,1,4
43598,1,3,NA,NA
43599,934,4,3,1
43600,580,3,3,3
43601,197,4,NA,NA
43602,654,3,4,5
43603,666,3,4,1
43604,219,3,NA,NA
43605,88,4,NA,NA
43606,NA,3,3,2
43607,659,3,4,1
43608,105,3,NA,NA
43609,4,3,NA,NA
43610,614,1,4,3
43611,77,2,NA,NA
43612,673,4,2,1
43613,345,1,2,4
43614,769,3,3,3
43615,NA,3,5,1
43616,224,2,NA,NA
43617,574,4,4,3
43618,698,2,1,2
43619,42,4,NA,NA
43620,682,2,2,5
43621,743,1,3,6
43622,362,4,5,5
43623,137,5,NA,NA
43624,647,4,2,1
43625,206,1,NA,NA
43626,28,1,NA,NA
43627,439,3,2,1
43628,184,4,NA,NA
43629,319,1,2,5
43630,187,3,NA,NA
43631,195,3,NA,NA
43632,783,2,3,4
43633,503,1,3,1
43634,302,3,5,5
43635,771,1,1,3
43636,460,3,5,1
43637,136,1,NA,NA
43638,401,3,5,1
43639,932,3,4,1
43640,321,4,4,5
43641,247,3,3,5
43642,182,1,NA,NA
43643,130,2,NA,NA
43644,608,1,1,3
43645,283,4,3,5
43646,219,1,NA,NA
43647,375,2,4,1
43648,92,1,NA,NA
43649,5,4,NA,NA
43650,159,4,NA,NA
43651,147,1,NA,NA
43652,9,2,NA,NA
43653,472,3,5,1
43654,433,3,3,1
43655,2,3,NA,NA
43656,NA,4,2,1
43657,1,4,NA,NA
43658,128,3,NA,NA
43659,184,3,NA,NA
43660,211,4,NA,NA
43661,196,4,NA,NA
43662,464,3,4,4
43663,84,1,NA,NA
43664,116,3,NA,NA
43665,6,3,NA,NA
43666,369,4,4,5
43667,75,2,NA,NA
43668,5,2,NA,NA
43669,141,2,NA,NA
43670,532,1,1,3
43671,903,3,2,1
43672,765,3,5,1
43673,84,4,NA,NA
43674,690,4,2,5
43675,107,3,NA,NA
43676,7,3,NA,NA
43677,136,2,NA,NA
43678,527,3,4,1
43679,675,3,5,1
43680,691,2,5,1
43681,24,1,NA,NA
43682,NA,3,3,2
43683,656,3,4,1
43684,815,1,1,2
43685,96,2,NA,NA
43686,9,5,NA,NA
43687,20,1,NA,NA
43688,572,1,5,1
43689,444,5,5,1
43690,935,4,1,1
43691,539,3,2,3
43692,569,4,2,1
43693,64,1,NA,NA
43694,14,2,NA,NA
43695,401,3,5,1
43696,343,4,2,5
43697,953,3,5,1
43698,26,4,NA,NA
43699,733,4,3,5
43700,439,3,4,3
43701,214,4,NA,NA
43702,NA,4,1,3
43703,23,3,NA,NA
43704,224,2,NA,NA
43705,NA,4,2,2
43706,207,3,NA,NA
43707,155,1,NA,NA
43708,616,2,4,1
43709,616,1,2,1
43710,608,3,5,1
43711,182,1,NA,NA
43712,89,3,NA,NA
43713,26,1,NA,NA
43714,39,3,NA,NA
43715,89,2,NA,NA
43716,380,3,4,1
43717,416,1,4,1
43718,732,4,2,3
43719,185,4,NA,NA
43720,778,4,4,1
43721,161,3,NA,NA
43722,893,5,3,2
43723,623,3,2,1
43724,202,2,NA,NA
43725,203,4,NA,NA
43726,914,4,4,1
43727,562,2,1,1
43728,25,1,NA,NA
43729,56,1,NA,NA
43730,4,1,NA,NA
43731,256,3,2,6
43732,399,4,3,5
43733,758,2,3,4
43734,11,3,NA,NA
43735,228,4,NA,NA
43736,593,1,4,1
43737,153,4,NA,NA
43738,NA,3,1,1
43739,126,2,NA,NA
43740,412,4,5,1
43741,177,5,NA,NA
43742,439,1,2,5
43743,NA,3,5,2
43744,196,4,NA,NA
43745,26,3,NA,NA
43746,807,2,1,5
43747,354,1,2,1
43748,NA,3,2,2
43749,756,2,3,1
43750,161,3,NA,NA
43751,141,3,NA,NA
43752,16,1,NA,NA
43753,177,1,NA,NA
43754,29,2,NA,NA
43755,137,2,NA,NA
43756,775,1,1,1
43757,754,1,1,1
43758,659,3,5,1
43759,513,4,4,6
43760,33,3,NA,NA
43761,720,4,2,1
43762,17,2,NA,NA
43763,403,1,3,5
43764,439,4,3,1
43765,9,4,NA,NA
43766,878,3,4,2
43767,805,3,4,2
43768,697,3,3,5
43769,NA,3,1,2
43770,520,3,5,1
43771,820,1,3,1
43772,698,3,3,2
43773,NA,3,5,2
43774,304,2,2,6
43775,604,1,4,6
43776,581,1,4,6
43777,323,3,3,5
43778,637,3,4,1
43779,426,1,5,1
43780,216,3,NA,NA
43781,97,1,NA,NA
43782,143,3,NA,NA
43783,46,3,NA,NA
43784,386,4,3,6
43785,583,3,5,1
43786,861,1,5,1
43787,655,3,2,6
43788,52,3,NA,NA
43789,193,3,NA,NA
43790,433,3,3,5
43791,116,1,NA,NA
43792,910,3,5,1
43793,478,3,1,1
43794,844,2,5,3
43795,809,4,1,4
43796,67,4,NA,NA
43797,176,3,NA,NA
43798,676,4,2,5
43799,329,2,3,3
43800,13,1,NA,NA
43801,869,3,4,5
43802,769,4,3,1
43803,16,4,NA,NA
43804,198,3,NA,NA
43805,109,3,NA,NA
43806,NA,3,1,1
