SEQN,RIDAGEMN,RIDRETH1,DMDEDUC2,DMDMARTL
41741,805,3,5,2
41742,60,2,NA,NA
41743,339,1,3,5
41744,8,1,NA,NA
41745,42,3,NA,NA
41746,42,4,NA,NA
41747,132,4,NA,NA
41748,754,1,3,3
41749,342,1,4,1
41750,415,4,4,5
41751,884,3,3,1
41752,98,4,NA,NA
41753,944,3,4,2
41754,395,3,2,1
41755,952,3,2,2
41756,720,1,1,1
41757,223,4,NA,NA
41758,347,1,1,5
41759,499,3,2,1
41760,880,3,3,2
41761,652,3,5,1
41762,384,3,5,5
41763,83,1,NA,NA
41764,650,3,5,1
41765,287,1,5,1
41766,3,1,NA,NA
41767,262,1,2,5
41768,692,1,5,1
41769,17,3,NA,NA
41770,861,2,1,2
41771,NA,2,2,2
41772,839,2,2,1
41773,51,3,NA,NA
41774,140,4,NA,NA
41775,739,4,2,5
41776,579,1,4,1
41777,138,1,NA,NA
41778,174,4,NA,NA
41779,216,3,NA,NA
41780,773,3,2,3
41781,18,1,NA,NA
41782,796,3,3,1
41783,NA,3,5,2
41784,48,1,NA,NA
41785,414,3,2,3
41786,516,1,1,1
41787,66,4,NA,NA
41788,466,3,2,5
41789,143,4,NA,NA
41790,95,3,NA,NA
41791,944,3,2,1
41792,173,2,NA,NA
41793,527,3,3,5
41794,538,3,3,1
41795,91,1,NA,NA
41796,723,4,3,2
41797,837,3,3,1
41798,201,4,NA,NA
41799,83,1,NA,NA
41800,63,3,NA,NA
41801,220,4,NA,NA
41802,360,3,3,1
41803,895,4,3,1
41804,178,1,NA,NA
41805,110,3,NA,NA
41806,743,4,4,4
41807,99,3,NA,NA
41808,824,3,3,1
41809,431,1,3,1
41810,NA,5,1,2
41811,434,1,5,1
41812,185,2,NA,NA
41813,343,1,1,6
41814,NA,3,2,2
41815,238,2,NA,NA
41816,65,1,NA,NA
41817,7,2,NA,NA
41818,194,1,NA,NA
41819,304,4,3,5
41820,959,1,1,2
41821,196,1,NA,NA
41822,256,2,4,5
41823,230,4,NA,NA
41824,186,2,NA,NA
41825,762,4,5,2
41826,158,3,NA,NA
41827,941,3,5,1
41828,187,1,NA,NA
41829,91,3,NA,NA
41830,124,4,NA,NA
41831,117,3,NA,NA
41832,94,3,NA,NA
41833,94,4,NA,NA
41834,523,3,5,1
41835,88,5,NA,NA
41836,18,3,NA,NA
41837,183,3,NA,NA
41838,700,3,1,1
41839,521,1,2,5
41840,905,3,2,1
41841,842,3,5,1
41842,260,1,4,5
41843,304,1,2,1
41844,441,3,3,5
41845,107,1,NA,NA
41846,175,3,NA,NA
41847,113,4,NA,NA
41848,915,3,4,1
41849,14,4,NA,NA
41850,233,1,NA,NA
41851,22,3,NA,NA
41852,791,3,3,1
41853,635,3,4,5
41854,98,3,NA,NA
41855,260,3,4,5
41856,833,4,3,1
41857,360,3,4,1
41858,724,3,4,5
41859,88,3,NA,NA
41860,23,4,NA,NA
41861,213,4,NA,NA
41862,1,5,NA,NA
41863,585,4,3,3
41864,529,1,4,3
41865,922,4,5,1
41866,168,3,NA,NA
41867,429,3,2,1
41868,946,3,1,1
41869,343,3,5,1
41870,718,1,2,3
41871,782,3,4,1
41872,44,3,NA,NA
41873,940,3,3,1
41874,110,3,NA,NA
41875,618,2,2,1
41876,528,4,2,3
41877,512,4,4,5
41878,560,3,3,4
41879,NA,3,4,1
41880,49,2,NA,NA
41881,841,3,3,1
41882,712,1,1,5
41883,515,2,4,5
41884,11,1,NA,NA
41885,8,1,NA,NA
41886,130,3,NA,NA
41887,154,1,NA,NA
41888,860,3,3,6
41889,390,1,3,3
41890,121,5,NA,NA
41891,64,4,NA,NA
41892,138,5,NA,NA
41893,226,4,NA,NA
41894,23,1,NA,NA
41895,575,1,5,1
41896,643,3,3,1
41897,931,3,5,1
41898,653,4,5,3
41899,420,1,1,1
41900,20,4,NA,NA
41901,826,4,1,2
41902,436,4,3,1
41903,398,4,3,6
41904,844,3,3,1
41905,70,3,NA,NA
41906,76,1,NA,NA
41907,281,2,2,6
41908,668,1,1,1
41909,838,1,1,1
41910,199,1,NA,NA
41911,234,2,NA,NA
41912,676,4,5,3
41913,217,2,NA,NA
41914,305,3,2,1
41915,759,3,5,1
41916,62,3,NA,NA
41917,115,2,NA,NA
41918,636,3,2,1
41919,638,1,4,1
41920,75,3,NA,NA
41921,731,2,1,4
41922,397,3,5,1
41923,726,3,5,3
41924,422,4,4,77
41925,210,3,NA,NA
41926,598,3,3,3
41927,464,3,4,1
41928,30,4,NA,NA
41929,537,4,4,3
41930,144,1,NA,NA
41931,188,3,NA,NA
41932,0,1,NA,NA
41933,603,1,4,1
41934,495,4,4,5
41935,114,3,NA,NA
41936,197,1,NA,NA
41937,6,3,NA,NA
41938,143,5,NA,NA
41939,33,4,NA,NA
41940,121,2,NA,NA
41941,157,1,NA,NA
41942,538,3,4,1
41943,98,3,NA,NA
41944,474,3,2,6
41945,19,4,NA,NA
41946,787,4,3,2
41947,383,3,3,3
41948,335,3,3,5
41949,220,1,NA,NA
41950,69,3,NA,NA
41951,237,1,NA,NA
41952,857,3,5,1
41953,NA,3,4,1
41954,117,4,NA,NA
41955,209,1,NA,NA
41956,17,4,NA,NA
41957,89,2,NA,NA
41958,320,1,3,5
41959,194,4,NA,NA
41960,NA,3,3,2
41961,554,3,3,1
41962,576,3,3,1
41963,798,1,2,1
41964,514,3,4,4
41965,445,5,3,1
41966,748,5,3,1
41967,35,3,NA,NA
41968,315,3,2,6
41969,733,3,3,1
41970,9,2,NA,NA
41971,802,4,3,1
41972,318,3,4,6
41973,860,3,4,3
41974,88,1,NA,NA
41975,25,3,NA,NA
41976,2,1,NA,NA
41977,134,4,NA,NA
41978,14,3,NA,NA
41979,83,1,NA,NA
41980,100,3,NA,NA
41981,668,1,5,3
41982,417,3,3,1
41983,853,3,3,1
41984,940,2,4,5
41985,195,1,NA,NA
41986,66,3,NA,NA
41987,117,1,NA,NA
41988,624,3,2,1
41989,166,4,NA,NA
41990,541,1,1,5
41991,800,1,1,1
41992,33,1,NA,NA
41993,715,3,5,1
41994,204,3,NA,NA
41995,66,3,NA,NA
41996,25,5,NA,NA
41997,144,1,NA,NA
41998,246,4,3,5
41999,46,3,NA,NA
42000,620,3,5,1
42001,275,3,3,5
42002,632,4,5,3
42003,820,1,1,2
42004,624,1,3,1
42005,NA,3,4,2
42006,114,1,NA,NA
42007,30,3,NA,NA
42008,22,4,NA,NA
42009,467,3,3,3
42010,291,1,2,5
42011,145,4,NA,NA
42012,132,5,NA,NA
42013,5,1,NA,NA
42014,604,3,4,5
42015,948,3,4,1
42016,289,3,5,6
42017,63,5,NA,NA
42018,751,1,1,6
42019,49,3,NA,NA
42020,42,3,NA,NA
42021,536,1,1,1
42022,172,2,NA,NA
42023,362,1,2,4
42024,440,3,2,1
42025,523,4,3,5
42026,857,3,1,1
42027,116,1,NA,NA
42028,546,4,3,5
42029,860,3,2,2
42030,401,3,4,1
42031,74,3,NA,NA
42032,25,3,NA,NA
42033,767,4,1,2
42034,354,5,2,1
42035,613,2,5,1
42036,61,2,NA,NA
42037,910,3,5,5
42038,73,5,NA,NA
42039,5,3,NA,NA
42040,228,2,NA,NA
42041,NA,3,1,1
42042,919,2,1,2
42043,460,1,2,1
42044,157,2,NA,NA
42045,639,3,4,3
42046,19,1,NA,NA
42047,627,3,3,1
42048,603,5,3,1
42049,533,3,4,1
42050,631,3,5,3
